speaker1,speaker2
 bofu set reminder to make doctor's appointment eofu," bofu Ok, when should I schedule a reminder to make your doctor's appointment? eofu"
" bofu directions to the nearest takeout chinese restaurant eofu bofu Sure, let's go there, just avoid all heavy traffic, thanks! eofu"," bofu We are 1 miles away from tai pan: does it sound good to you? eofu bofu I've sent on screen the address with the quickest route, drive carefully! eofu"
 bofu when is the meeting eofu bofu what date is the meeting  eofu, bofu Your meeting with the sales team in on Friday at 7pm. eofu
" bofu Where is the closest coffee shop? eofu bofu Okay, thank you eofu"," bofu The closest coffee shop is Startbucks found at 792 Bedoin Street. It is 2 miles away, but there is a car collision nearby eofu bofu You are welcome eofu"
 bofu show me what time i need to take my pills eofu," bofu Wednesday, 1 PM eofu"
" bofu I'm going to Redwood City on Thursday: will it be humid? eofu bofu That's good, thank you car! eofu", bofu It will not be humid in Redwood City on Thursday.  eofu bofu No problem! eofu
 bofu Please give me the address and directions to a coffee shop via the quickest route.  eofu bofu Can we avoid the heavy traffic at all? eofu bofu Thank you car! eofu," bofu Peets coffee is located at 9981 Archuleta Ave, 1 mile away in heavy traffic. Setting directions now.  eofu bofu We will avoid the heavy traffic to Peets.. eofu bofu You're welcome, have a great day.  eofu"
 bofu what is the date of the next vaccination eofu, bofu The next vaccination date is on Thursday at 1 pm eofu
 bofu Please schedule a swimming activity Tuesday at 5pm with Martha. eofu bofu Thanks! eofu," bofu Okay, scheduling a swimming activity with Martha for Tuesday at 5pm. eofu bofu No problem. eofu"
" bofu find the nearest chinese place on the map eofu bofu Pick a route to avoid all heavy traffic and send me its address on map please eofu bofu Thank you car, let's go there! eofu", bofu The closest Chinese restaurant is PF Changs 5 miles away. eofu bofu PF Changs is at 669 El Camino Real. eofu bofu You're welcome and we are on our way.  eofu
" bofu i need directions to a local fast food restaurant please eofu bofu Yes, give me the address. eofu bofu Sounds great. Navigate me there please.  eofu"," bofu There is Pizza Hut 2 miles away: would it be good for your hunger? eofu bofu The address to Pizza Hut is 704 El Camino Real. eofu bofu Sure, I sent the info on your screen, drive carefully! eofu"
 bofu is it snowing next week eofu bofu Compton. eofu bofu Thanks eofu, bofu What city would you like to know if it will be snowing in? eofu bofu It will not snow in Compton next week. eofu bofu Not a problem. eofu
 bofu what's the temperature going to be this week eofu bofu Alhambra. eofu bofu Thanks eofu," bofu In what location? eofu bofu In Alhambra, it will be 80-100F Monday to Wednesday, 30-40F Thursday, 50-70F Friday, 60-70F Saturday, and 80-100F Sunday. eofu bofu No problem! eofu"
 bofu Schedule a lab appointment with Ana for the 3rd at 2pm. eofu, bofu Reminder set for lab appointment on the 3rd at 2 pm with Ana.  eofu
" bofu remind me to get a shot eofu bofu Today, 11am please. eofu", bofu What day would you like to be reminded? eofu
" bofu Please give me the address and directions to a gas station near my current location, avoiding all heavy traffic.  eofu bofu Thank you very much car! eofu"," bofu The nearest gas station is Chevron that's located 2 miles away at 783 Arcadia Pl. In this moment there is moderate traffic on our way, I sent all the details on your screen eofu bofu You're welcome! eofu"
 bofu schedule a work meeting for the conference room this tuesday at 10 eofu bofu Thank you. eofu," bofu Okay, setting a reminder on Tuesday for your work meeting in the conference room at 10 am. eofu bofu You are welcome.  eofu"
" bofu what's the weather going to be like today and tomorrow eofu bofu In Alameda, for today and tomorrow if there will be Frost. eofu bofu That covers it. Thank you.  eofu"," bofu What location do you want the weather for? eofu bofu No, there shouldn't be any frost in alameda tomorrow. eofu bofu No problem, it's my pleasure to assist you! eofu"
" bofu i'm looking for some takeout chinese food eofu bofu I'd like to try Jing Jing, let's go through an alternate route and in the quickest way eofu bofu Is that the quickest way? eofu bofu Great, thank you. eofu"," bofu You can pick between Tai Pan and Jing Jing, both 4 miles away, or P.F. Changs, 6 miles away eofu bofu Jing Jing has a route to 113 Arbol Drive with moderate traffic but we should still get there quickly. Is that going to work? eofu bofu Yes, it is the quickest way to reach, I've set the GPS and you could follow the route on your screen eofu bofu You're very welcome! eofu"
" bofu tell me how hot it's going to be in the forecast for the weather eofu bofu Alhambra, is it hot next week? eofu bofu Thank you car! eofu", bofu Which location are you interested in? eofu bofu It will not be hot in Alhambra next week. eofu bofu Anytime! eofu
" bofu give me directions to the nearest shopping mall eofu bofu Yes, what is the address? eofu bofu Is there another shopping mall with no heavy traffic? eofu bofu I guess that will have to do, go ahead and set GPS. eofu"," bofu We are 5 miles away from Town and Country: does it sound good to you? eofu bofu 383 University Ave, it's 5 miles away but there is heavy traffic on our way eofu bofu Currently Town and Country is the only one i have listed. Should i set GPS anyway? eofu bofu I sent the info on your screen, drive carefully! eofu"
 bofu remind me i have a tennis match on the 12th eofu bofu I want to set it up 1 pm on the 12th. eofu, bofu Okay. What time on the 12th? eofu
 bofu What is the date and time for my scheduled dinner this week with Sue. eofu bofu Thank you for looking. eofu, bofu I find no dinner scheduled this week with Sue.   eofu bofu You are welcome. eofu
" bofu Who will be going to my doctors appointment and what day is it on? eofu bofu Great, thanks. eofu", bofu Your brother will be going to the doctor's appointment on Tuesday. eofu bofu happy to help eofu
" bofu I'm desiring to eat at some Chinese restaurant: is there any in the area? eofu bofu The one with the quickest route.  eofu bofu Yes, please do.  eofu", bofu There are Mandarin Roots 5 miles away and Jing Jing 6 miles away: which one would you like to try? eofu bofu There is no traffic on the way to Mandarin Roots. Would you like to navigate there now? eofu bofu GPS is set and we should arrive shortly.  eofu
" bofu find me a nearby shopping mall shopping center eofu bofu Yes sounds good.  eofu bofu Yes, please, pick a quick route to go there too. Thank you! eofu", bofu There is Stanford Shopping Center 1 miles away: do you want me to send you its address on screen? eofu bofu Stanford Shopping Center is located at 773 Alger Dr. Do you want me to set the GPS?  eofu bofu I sent the info with the best route on your screen! You're welcome! eofu
 bofu Is it humid in Compton now? eofu bofu Thanks. eofu, bofu It is not humid in Compton now. eofu bofu Anytime. eofu
 bofu show me this week's forecast eofu bofu Will it be foggy in Danville? eofu bofu Thanks eofu, bofu What location do you want the weather for? eofu bofu During the next week it's not gonna be foggy in Danville. eofu bofu No problem! eofu
" bofu what is the weather for today eofu bofu Fresno, please, tell me if it will be misty today eofu bofu Thank you. eofu", bofu What city did you need information about? eofu bofu It will not be misty in fresno today eofu bofu you are very welcome eofu
 bofu What date and time is my dentist appointment at? eofu bofu Thank you. eofu, bofu Your dentist appointment is on the 13th at 6pm. eofu bofu You are welcome. eofu
 bofu Set a reminder for tennis on August 3rd at 11am with my aunt eofu bofu Thanks.  eofu, bofu Setting reminder for tennis on August 3rd at 11 am with aunt.  eofu bofu You are welcome. eofu
 bofu what's today's and tomorrow's forecast eofu bofu I want to know the temperature in danville eofu bofu today and tomorrow eofu bofu Thank you car! eofu," bofu What city do you want the forecast for? eofu bofu For what day would you like to know the temperature?  eofu bofu Today Monday, will be a low of 90F, high of 100F and tomorrow also a low of 90F, high of 100F. eofu bofu You're welcome! eofu"
 bofu is it going to rain at all this upcoming week eofu bofu Cleveland thank you eofu bofu Thanks. eofu, bofu What city would you like to know if it is going to rain in? eofu bofu What city would you like to know if it is going to rain in? eofu bofu In which city do you want to know if it's going to rain? eofu bofu Yes rain is predicted to fall on Tuesday in Cleveland this week eofu bofu You're welcome. eofu
 bofu Will it be warm in Cleveland on Tuesday? eofu bofu Thanks. eofu, bofu The forecast on Tuesday for Cleveland is stormy. eofu bofu glad to help eofu
 bofu get me directions to the nearest chinese restaurant eofu bofu Please send me its address on screen and pick a quick route to reach there eofu bofu Thanks so much.  eofu," bofu the nearest chinese restaurant is 1 mile away eofu bofu Navigating to113 Arbol Dr. eofu bofu You're welcome, happy to help.  eofu"
" bofu Need a gas station nearest me will little traffic. eofu bofu Ouch.. I need to go there anyway, please send the directions on my screen, thank you car! eofu", bofu There is Chevron 8 miles away but there is heavy traffic on its direction eofu bofu You're welcome; drive carefully.  eofu
 bofu Schedule eofu bofu Please schedule a 2 pm yoga activity with Jeff on August 14th. eofu bofu Thanks. eofu," bofu Your schedule is empty. eofu bofu Okay , setting a reminder for your yoga activity with Jeff on August the 14th at 2 pm. eofu bofu You are welcome. eofu"
" bofu give me the weekly weather forecast eofu bofu San Jose. eofu bofu Cool, thanks a lot. eofu"," bofu What city are you inquiring about? eofu bofu In San Jose it will be hot with a temperature between 60-80F on Monday, 60-80F with rain on Tuesday, 40-60F with rain on Wednesday, 90-100F with rain on Thursday, 30-40F with overcast on Friday, 40-60F with clear skies on Saturday, and 30-40F with rain on Sunday.  eofu"
" bofu Please give me the address and quickest route details for a parking garage nearby.  eofu bofu Yes, please give me directions via the quickest route.  eofu bofu Thank you.  eofu"," bofu Dish Parking is 6 miles away at 550 Alester Ave. There is moderate traffic. Would you like directions there?  eofu bofu I sent all the info on your screen, drive carefully! eofu bofu You're welcome! eofu"
 bofu schedule a doctor's appointment eofu, bofu  eofu
" bofu will it rain this week eofu bofu Los Angeles, please eofu bofu Thank you! eofu", bofu What city can I give you the rain forecast for? eofu bofu In Los Angeles is gonna rain on Sunday eofu bofu Anytime. eofu
 bofu Over the next seven days will there be any drizzle in camarillo? eofu bofu Thanks. eofu," bofu The weather forecast doesn't call for drizzle in Camarillo this week, but it might rain on Tuesday and Wednesday eofu bofu You are welcome. eofu"
 bofu What will the temperature be this weekend in grand rapids? eofu bofu Thanks eofu, bofu It looks like it will be 70-80F on Saturday and 90-100F on Sunday. eofu bofu No problem! eofu
" bofu where can i find tea around me eofu bofu Which one is it the quickest route to reach it? eofu bofu Patience, let's go there anyway, thank you car! eofu", bofu The closest tea shop is Coupa and is 6 miles from you located at 394 Van Ness Avenue. eofu bofu The quickest route available to Coupa is 6 miles and there is a car collision nearby eofu bofu I sent the route on your screen. You're welcome! eofu
" bofu what's the weather like in downtown chicago eofu bofu I need to know if there will be a drizzle in downtown Chicago car, for this Friday.  eofu bofu Sounds good. eofu"," bofu The forecast is rain with the highs in the 50s and lows in the 40s.  eofu bofu On Friday in downtown Chicago it will be hot, there is no prediction of drizzle eofu bofu Not a problem. eofu"
" bofu Locate a nearby shopping mall for me. eofu bofu What is the address? eofu bofu Thanks, set the GPS there please. eofu bofu Thank you eofu", bofu Midtown Shopping Center is 6 miles away. eofu bofu Midtown Shopping Center is at 338 Alester Ave. eofu bofu GPS set for Midtown Shopping Center. eofu bofu You are welcome. eofu
" bofu Directions to a hotel please.  eofu bofu Give me the quickest route to the Westin please.  eofu bofu Yes, please. eofu bofu Thank you car, please pick the shortest distance! eofu"," bofu The Westin is located 4 miles away and the Hotel Keen 6 miles away. Would you like directions to one of those? eofu bofu There is moderate traffic, would you like me to put it on your screen? eofu bofu Setting route now. eofu bofu I did! Enjoy your trip now, you're welcome! eofu"
 bofu remind me of my yoga activity with Marie. eofu bofu It is going to be at 1pm on August 22nd. eofu bofu Thanks! eofu, bofu What time is your yoga activity with Marie? eofu bofu OK I will set it for 1 pm on August 22and. eofu bofu no problem eofu
" bofu directions to the nearest grocery store eofu bofu Yes, can you give me the route? eofu bofu Pick the fastest route please, and send the address on my screen. Thank you! eofu"," bofu The nearest grocery store i could find is located 6 miles away. Would you like more info on it? eofu bofu Navigating you to Sigona Farmers Market. eofu bofu The address is 638 Amherst St, follow your map and you'll get there in few minutes! eofu"
 bofu Will there be a blizzard this week in Manhattan? eofu bofu Thanks. eofu, bofu there aren't any blizzards predicted in Manhattan this week. eofu bofu No problem! eofu
 bofu what are the directions to the mall eofu bofu Which ever has less traffic.  eofu bofu Ok can you give me the address? Thanks.  eofu bofu Thank you for directions via a quick route.  eofu bofu Thank you car assistant eofu," bofu We are 5 miles away from Topanga Mall and from Midtown Shopping Center: do you have any preference? eofu bofu Then let's go at Topanga Mall, I sent its position and the route to reach on your screen eofu bofu Topanga Mall is located at 171 Oak Rd eofu bofu I will find a quick route to Topanga Mall for you. eofu bofu You're welcome! eofu"
 bofu what's the seven day forecast for new york city eofu bofu Can you give me the average temperature in Fahrenheit?  eofu bofu Thank you eofu," bofu The forecast for New York predicts a week with drizzles, overcast  and clear skies with dry and humid temperatures. eofu bofu In New York it will be between 30-50F on Monday, 30-40F on Tuesday, 80-90F on Wednesday, 30-50F on Thursday, 90-100F on Friday, 20-40F on Saurday, and 20-40F on Sunday. eofu bofu Glad i can assist, goodbye. eofu"
 bofu Can you find me a rest stop. I'm tired.  eofu bofu Is that the closest available? eofu bofu Oh no ok set the GPS and let's get started.  eofu bofu Thank you eofu," bofu Four Seasons	is 7 miles away. eofu bofu Yes, it is, and unfortunately there is a car collision nearby, reaching there will take longer eofu bofu I sent the route and the position of the hotel on your screen, drive carefully! eofu bofu You are welcome eofu"
 bofu remind me of my dentist appointment eofu bofu It's at 7pm on August 12th. eofu, bofu What is the date and time of the appointment? eofu bofu ok setting reminder eofu
" bofu Where is the closest hospital? eofu bofu Sounds great, thanks.  eofu bofu Yes, please, send the quickest route on my screen! eofu bofu Thank you very much car! eofu"," bofu Palo Alto Medical Foundation is located 2 miles away. Do you want the address? eofu bofu The address is 611 Ames Ave, do you want directions? eofu bofu There is heavy traffic in this moment, I sent the directions on your screen eofu bofu You are welcome! eofu"
 bofu take me to my friends house eofu bofu Yes please. eofu bofu What is the address? eofu bofu Thanks. eofu," bofu I don't have your friends house in my memory, sorry, do you mean you want to go home? eofu bofu Navigating you home. eofu bofu Your home is at 56 cadwell street. eofu bofu You're welcome! eofu"
 bofu What is the date and time for tennis? eofu bofu Thank you. eofu," bofu You have a tennis activity on the 12th at 7pm with mother, and on the 19th at 5pm with father. eofu bofu You are welcome! eofu"
 bofu Where is a parking garage at nearby? eofu bofu What is the address? eofu bofu Thank you! eofu," bofu The closest parking garage i have is 2 miles away and it's name is Stanford Oval Parking. eofu bofu The address is 610 Amarillo Ave. eofu bofu You're welcome, happy to help.  eofu"
" bofu I need you to set a reminder for a doctor appointment at 11 am, the 7th, with Alex. eofu"," bofu I have set a reminder for a doctor appointment on 7th, at 11 am, with Alex. eofu"
 bofu what time is my swimming lessons scheduled eofu bofu Thanks eofu, bofu Your next swimming lesson is Monday at 2pm. eofu
 bofu I need to schedule tennis with Jon.  eofu bofu on the 15th at 1 pm eofu bofu Make sure it's this month.  eofu bofu Thank you. eofu," bofu When shall i set the reminder for tennis with Jon? eofu bofu Okay great, I have that scheduled for you on the 15th with Jon. eofu bofu Okay scheduling a tennis reminder for you on the 15th of this month with Jon at 1 pm. eofu bofu happy to help eofu"
" bofu Car I'm desiring to have some pizza! Is there any pizzeria in the local area? eofu bofu Yes, please pick a route with no traffic eofu bofu Thank you car! eofu", bofu Pizza My Heart is located at 528 Anton Ct 6 miles away in moderate traffic. Would you like directions there? eofu bofu Setting navigation now.  eofu bofu You're welcome! eofu
 bofu is it snowing out eofu bofu Redwood City. eofu bofu Will it snow in redwood city this next week? eofu bofu Thank you car! eofu, bofu In what city? eofu bofu Now it's outcast in Redwood City eofu bofu It's not gonna snow in Redwood City this week eofu bofu You're welcome! eofu
 bofu what is the date for my next yoga appointment eofu bofu Thank you eofu, bofu Yoga is at 5 pm. eofu bofu You're welcome. eofu
 bofu Schedule a doctor appointment with my brother on Monday August 8th at 5pm. eofu," bofu Okay, doctors appointment on Monday, August 8th at 5pm with your brother is set. eofu"
" bofu Where can I get Chinese food? eofu bofu Which is closer? eofu bofu Please pick the route with the shortest distance and let's go there, thank you! eofu"," bofu There are two restaurants within 6 miles; however, one has a road block nearby. The P.F. Changs has moderate traffic on the way.  eofu bofu THe PF Chans is 6 miles away with moderate traffic.  eofu bofu I sent the info on your screen. You're welcome! eofu"
 bofu Is there a place that serves coffee near me? eofu bofu What is the address? eofu bofu Thanks. eofu," bofu There is a Philz coffee 4 miles away. eofu bofu 583 Alester Ave, I sent the info on your screen eofu bofu You're welcome, have a great day.  eofu"
" bofu what's the temperature going to be like today and tomorrow eofu bofu Seattle please eofu bofu Great, thank you. eofu"," bofu What city can I give you the temperature information for? eofu bofu Seattle will be seeing temperatures between 50-60F on Monday, and 60-70F on Tuesday. eofu bofu No problem. eofu"
 bofu find out what time my eye doctor appointment is eofu, bofu Your optometrist appointment is scheduled for 3pm on Thursday. eofu
" bofu Can you find me the closest hospital to me? eofu bofu How's the traffic? eofu bofu Can we avoid the collision? eofu bofu Great, please give me the address and details via the quickest route.  eofu bofu Thank you car, you rock! eofu"," bofu The closest hospital, Stanford Express Care is 8 miles from your location eofu bofu There is a car collision nearby. eofu bofu Yes, I can help you avoid the collision. eofu bofu The address is 214 El Camino Real, I highlighted it on your map together with the quickest route eofu bofu You're welcome, have a great day.  eofu"
 bofu remind me i have a doctors appointment on the 12th at 5 pm eofu," bofu OKay, setting reminder for doctor's appointment on the 12th at 5pm. eofu"
" bofu what's the temperature going to be like this week eofu bofu San Mateo. eofu bofu Alright, thank you eofu"," bofu What location do you want the temperature for? eofu bofu This week in San Mateo, Monday and Tuesday have lows in the 20F with highs in the 50F. the rest of the week has high temperatures reaching the 100s eofu bofu anytime eofu"
" bofu Will there be hail in Los Angeles today? eofu bofu Awesome, thanks so much.  eofu", bofu It will be raining but not hailing in Los Angeles today. eofu bofu You're very welcome! eofu
 bofu is it going to snow next week eofu bofu Inglewood eofu bofu Thanks. eofu, bofu You want me to check if it's going to snow in what city this week? eofu bofu There is going to be snow next week on Saturday in Inglewood.  eofu bofu You are welcome! eofu
" bofu I want pizza/ eofu bofu Are they any other ones in the area with lighter traffic? eofu bofu That sounds great, thanks.  eofu"," bofu There is a Pizza Chicago, 3 miles away with Heavy Traffic at 915 Arbol Dr eofu bofu Unfortunately there aren't other options nearby but I can set an alternate route to not waste too much time in the traffic eofu bofu You're welcome! eofu"
 bofu show directions for the nearest grocery store eofu bofu Please give me directions via the fastest route available. THank you.  eofu bofu THanks car assistant eofu," bofu Trader Joes is located at 408 University Ave, 4 miles away in heavy traffic. Setting navigation now.  eofu bofu Setting navigation now. There is heavy traffic, so drive carefully.  eofu bofu You're welcome, I'm here for you! eofu"
 bofu What is the forecast for Seattle for the next 48 hours? eofu bofu Thanks. eofu," bofu The next 48 hours in Seattle are predicted to be misty along with cleat skies, the temperature should range between 30F and 70F eofu bofu No problem. eofu"
" bofu What day and time is tennis? eofu bofu Cool, thanks. eofu", bofu Tennis is set on the 2nd at 7 pm with your aunt.  eofu bofu glad to help eofu
 bofu schedule a doctors appointment on the 12th eofu," bofu Okay I have scheduled you an appointment reminder on the 12th at 10 am, Is this okay? eofu"
 bofu Where is the nearby hospital? eofu bofu Thanks! eofu, bofu Palo Alto Medical Foundation	is at 611 Ames Ave. eofu bofu You're welcome.  eofu
" bofu Where is the closest rest stop? eofu bofu Yes please. eofu bofu No thanks, that will be all. eofu", bofu One rest stop is located 1 mile away. It's the Comfort Inn. Do you need the address? eofu bofu The address is 753 University Ave. Do you want me to set the GPS? eofu bofu Goodbye. eofu
" bofu show me the locations of all of the nearby motels eofu bofu Pick one in the area and avoid all heavy traffic please eofu bofu Sounds great, thanks.  eofu"," bofu There are The Westin 4 miles away, and the Comfort Inn and Hotel Keen, both 5 miles away eofu bofu Then let's go at The Westin hotel, there is no traffic and it's nearby. The address is 329 El Camino Real eofu bofu You're very welcome! eofu"
" bofu what's the weather like in downtown chicago eofu bofu Okay, will you find out if there will be a blizzard there anytime in the next 7 days? eofu bofu That's great, thank you eofu", bofu Today in Downtown Chicago is drizzle eofu bofu Downtown Chicago does not have any weather predictions for a blizzard over the next 7 days eofu bofu You're welcome! eofu
 bofu when is my doctor's appointment eofu, bofu Your next doctor's appointment is Friday at 11am. eofu
" bofu Where can I get groceries? eofu bofu Is it within 5 miles, by chance? eofu bofu Is there any traffic? eofu bofu Yes that will work. Set the GPS for there please. eofu"," bofu Sigona Farmers Market sells groceries. eofu bofu Yes, it is only 3 miles away.  eofu bofu There is moderate traffic. Is that ok? eofu bofu Setting GPS, we will arrive shortly.  eofu"
 bofu find me a hotel nearby eofu bofu Tell me the one that I can get to the quickest eofu bofu Thanks for directions via the quickest route.  eofu," bofu There are 2 hotels nearby. The Clement Hotel and Four Seasons eofu bofu You will be able to get to Four Seasons the quickest. It is located at 465 Arcadia Pl and is 6 miles away eofu bofu There is moderate traffic on our way but it won't take too long, I sent everything on your screen. You're welcome! eofu"
" bofu Where can I get pizza? eofu bofu Is there any within 2 miles? eofu bofu OK, would you give me an address and directions to Pizza My Heart? eofu bofu Thanks! eofu"," bofu I have a pizza shop located 4 miles away named Pizza My Heart. Need more info? eofu bofu No there is not.  eofu bofu Pizza My Heart is at 528 Anton Ct, directions are on the screen. eofu bofu You're welcome! eofu"
 bofu what time is the doctor's appointment eofu bofu Wow thank you.  eofu, bofu Your doctors appointment is tueday at 2pm eofu bofu You are most welcome! eofu
" bofu Set a reminder for my football activity at 3pm this Tuesday, with mother.  eofu bofu Thank you! eofu", bofu Setting a reminder for football activity with mother on Tuesday at 3 pm.  eofu bofu You are welcome! eofu
 bofu where is the nearest hotel eofu bofu Where is the closest and fastest route to a rest stop? eofu bofu Thanks. eofu, bofu There is no hotel located locally.  eofu bofu There is no traffic to The Westin that is 4 miles away. The address is 329 El Camino Real eofu bofu You're welcome.  eofu
 bofu Will it drizzle in Los Angeles today? eofu bofu Thank you very much.  eofu, bofu It will not drizzle in Los Angeles today. eofu bofu glad i could help out eofu
 bofu is it supposed to snow today eofu bofu I would like to know about Manhattan please.  eofu bofu Thank you.  eofu, bofu What city would you like me to check if it will be snowing today? eofu bofu There is no snow scheduled to take place in Manhattan today. eofu bofu no problem eofu
 bofu Will it be windy tomorrow in Atherton? eofu bofu Thanks. eofu, bofu It will be windy in Camarillo on Tuesday. eofu bofu Anytime. eofu
" bofu I'd like a chinese restaurant eofu bofu Is that the only chinese spot you have listed? eofu bofu give me the address and the fastest route there with no traffic eofu bofu Then let's go there, thank you car! eofu", bofu We're 7 miles away from Panda Express but there is a car collision nearby eofu bofu Panda Express is the only one currently listed. eofu bofu Panda Express is at 842 Arrowhead Way. eofu bofu You're welcome! eofu
" bofu Car I'm desiring pizza: pick a pizza restaurant with least traffic on our way! eofu bofu This sounds great, let's go there car, thank you! eofu", bofu Dominos has the least traffic on the way. eofu bofu You're welcome. Happy to help.  eofu
" bofu What time is my dentist appointment and who is going? eofu bofu That will do, thanks. eofu"," bofu I have you set for two. One is at 2pm with Jon, and one at 4pm with Ana  eofu bofu Okay, have a good day. eofu"
 bofu what is the date and time of the conference eofu, bofu Your conference is scheduled for Tuesday at 3 pm.  eofu
 bofu Find me a pizza place within 3 miles and avoid all heavy traffic eofu bofu Send me directionsome please. eofu bofu Thank you car! eofu, bofu Pizza My Heart is at 528 Anton Ct. It is 4 miles away and there is no traffic.  eofu bofu I updated the map on your screen with the current navigation info: enjoy your trip! eofu bofu You're welcome my driver! eofu
 bofu Schedule a football activity with Jon for the 29th at 6pm. eofu, bofu I will schedule a football activity with Jon for the 29th at 6pm.  eofu
 bofu Where is the closest shopping center? eofu bofu What is the address? eofu bofu Set GPS for fastest route. eofu bofu Thank you! eofu, bofu Midtown Shopping Center is 4 miles away. eofu bofu Midtown Shopping Center is located at 338 Alester Ave. eofu bofu Setting GPS for fastest route to Midtown Shopping Center. eofu bofu You're welcome have a great day. eofu
" bofu There will be any hail in Danville during the week? eofu bofu Alright, thanks eofu", bofu There is no hail in the forecast in Danville this week.  eofu bofu You're welcome. eofu
 bofu what is the temperature going to be like this week eofu bofu Boston next week. eofu bofu Thank you! eofu," bofu What location do you want the temperature for? eofu bofu The temperature in Boston on next week will be low of 40F and high of 50F on Monday, low of 80F and high of 100F on Tuesday, low of 80F and high of 100F on Wednesday, low of 40F and high of 50F on Thursday, low of 90F and high of 100F on Friday, low of 20F and high of 30F on Saturday, low of 60F and, high of 70F on Sunday eofu bofu You're welcome! eofu"
" bofu Schedule a dinner at 6pm, on the 15th of this month, with my sister eofu bofu Thanks. eofu", bofu Your dinner at 6 PM on the 15th of this month with your sister has been scheduled. eofu
 bofu will it hail in oakland eofu bofu Great thank you eofu, bofu Hail is predicted to fall in oakland on saturday. eofu bofu You are welcome. eofu
" bofu are there clear skies in the forecast today eofu bofu Brentwood, please. eofu bofu Thank you car! eofu", bofu What city would you like to find out if there are clear skies in? eofu bofu Snow is predicted in Brentwood today eofu bofu You're welcome! eofu
" bofu find a coffee place eofu bofu Yes, and give me the address. eofu"," bofu We are 3 miles away from Philz: set the GPS to go there? eofu bofu I sent the info on your screen, drive carefully! eofu"
 bofu Next week in San Mateo will there be any frost? eofu bofu Thank you very much car! eofu, bofu There will be frost in san mateo on sunday  eofu bofu You're very welcome! eofu
 bofu What will the highest temperature be in Menlo Park on Tuesday? eofu bofu Thanks. eofu, bofu 60F is the highest temperature in menlo park on tuesday eofu bofu No problem. eofu
 bofu what is the chance of rain next week eofu bofu Will it rain in Alhambra? eofu bofu Thanks. eofu, bofu Of which city do you want to know the chance of rain? eofu bofu It is not forecasted to rain in Alhambra next week. eofu bofu No problem. eofu
" bofu does the forecast call for snow today eofu bofu Okay, thank you eofu", bofu There is no snow in the forecast today. eofu bofu you are welcome eofu
" bofu When is the meeting, what is the agenda and who are attending? eofu bofu Thanks. eofu", bofu You have three meetings scheduled.  The first is at 2pm on the 13th with management to onboard new members.  The second is at 10am on Friday with the vice president to go over the budget.  The third is at 9am on Tuesday with the executive team to go over the quarterly report. eofu bofu Glad i could help. eofu
" bofu is it going to rain sometime this week eofu bofu Redwood City, please. eofu bofu Thank you! eofu", bofu What city are you inquiring about? eofu bofu It will drizzle on Wednesday and Thursday in Redwood City. eofu bofu You're welcome! eofu
" bofu what is the current temperature eofu bofu Compton, please! eofu bofu Thank you eofu", bofu What city do you want to know the temperature for? eofu bofu Current temperature is low of 60f and high of 70f. eofu bofu Anytime! eofu
" bofu Are there any Chinese places I can get to with no traffic within 5 miles of here? eofu bofu Thank you car, let's go there! eofu bofu Thank you.  eofu", bofu P.F.Changs at 669 El Camino Real is 1 mile away trough moderate traffic eofu bofu Setting navigation to PF Changs now.  eofu bofu You're welcome! eofu
 bofu Look at today and tomorrow and tell me if there will be any snow in san francisco eofu bofu Thanks. eofu," bofu It will not snow in the next 2 days in San Francisco. eofu bofu You're welcome, have a good day.  eofu"
 bofu what is the date and time of the conference eofu bofu Thank you. eofu, bofu The conference is at 10 am on Monday. eofu bofu no problem! eofu
" bofu What is the time and date of my doctor appointment. eofu bofu That solves it, thanks!\ eofu", bofu You have two doctor appointments set; one on the 2nd at 2 pm and one on the 13th at 1 pm.  eofu bofu No problem. eofu
 bofu Car I need a hotel to get some sleep: is there any in the local area? eofu bofu What is the address? eofu bofu Set GPS for the fastest route please. eofu bofu Thanks. eofu," bofu Travelers Lodge is 4 miles away. eofu bofu Travelers Lodge is at 333 Arbol Dr. eofu bofu There is a road block nearby, I'm afraid we will have to take a longer route.. I sent the info on your screen eofu bofu Anytime! eofu"
" bofu Where is a near rest stop? eofu bofu Keen, what is the address? eofu bofu Thanks. eofu", bofu There are the Hotel Keen 4 miles away with no traffic and the Comfort Inn 5 miles away with moderate traffic: which one do you prefer? eofu bofu Hotel Keen is at 578 Arbol Dr. eofu bofu You are welcome! eofu
 bofu Set a reminder for a conference with the vice president next Wednesday at 10 am. eofu bofu Awesome! eofu," bofu Okay, scheduling a conference with the vice president for next Wednesday at 10am. eofu bofu Glad i could help. eofu"
 bofu I need to find the closest hospital.  eofu bofu Ok set the GPS there please.  eofu bofu No that's it. Let's go. Thanks for the help.  eofu, bofu The closest hospital is at 214 214 El Camino Real. eofu bofu I did. Do you need any other info? eofu bofu You're welcome! eofu
 bofu Is the weather overcast in grand rapids now? eofu bofu Thanks eofu, bofu Right now in grand rapids the weather is not overcast. eofu bofu no problem eofu
" bofu Where is the nearest pizza place? eofu bofu Yes, please, and pick the quickest route to get there too eofu bofu Thanks! eofu"," bofu The nearest pizza place is Round Table located 4 miles away. Do you want the address? eofu bofu 113 Anton Ct, there is no traffic and you should be able to reach there quickly eofu bofu You're welcome! eofu"
